D,string,u
D,1964-07-02 18:00:00,-11.5
D,1964-07-03 18:00:00,-11.3
D,1964-07-04 18:00:00,-11.1
D,1964-07-05 18:00:00,-10.7
D,1964-07-06 18:00:00,-10.3
D,1964-07-07 18:00:00,-10.5
D,1964-07-08 18:00:00,-10.8
D,1964-07-09 18:00:00,-11.0
D,1964-07-10 18:00:00,-10.8
D,1964-07-11 18:00:00,-10.7
D,1964-07-12 18:00:00,-10.7
D,1964-07-13 18:00:00,-10.6
D,1964-07-14 18:00:00,-10.3
D,1964-07-15 18:00:00,-9.8
D,1964-07-16 18:00:00,-9.6
D,1964-07-17 18:00:00,-9.5
D,1964-07-18 18:00:00,-9.5
D,1964-07-19 18:00:00,-9.1
D,1964-07-20 18:00:00,-8.8
D,1964-07-21 18:00:00,-8.7
D,1964-07-22 18:00:00,-8.5
D,1964-07-23 18:00:00,-8.3
D,1964-07-24 18:00:00,-7.9
D,1964-07-25 18:00:00,-7.6
D,1964-07-26 18:00:00,-7.3
D,1964-07-27 18:00:00,-7.0
D,1964-07-28 18:00:00,-7.1
D,1964-07-29 18:00:00,-7.2
D,1964-07-30 18:00:00,-7.3
D,1964-07-31 18:00:00,-7.2
D,1964-08-01 18:00:00,-7.3
D,1964-08-02 18:00:00,-7.2
D,1964-08-03 18:00:00,-7.0
D,1964-08-04 18:00:00,-6.7
D,1964-08-05 18:00:00,-6.5
D,1964-08-06 18:00:00,-6.6
D,1964-08-07 18:00:00,-6.4
D,1964-08-08 18:00:00,-6.5
D,1964-08-09 18:00:00,-6.5
D,1964-08-10 18:00:00,-6.5
D,1964-08-11 18:00:00,-6.3
D,1964-08-12 18:00:00,-5.9
D,1964-08-13 18:00:00,-5.6
D,1964-08-14 18:00:00,-5.0
D,1964-08-15 18:00:00,-4.4
D,1964-08-16 18:00:00,-3.7
D,1964-08-17 18:00:00,-3.1
D,1964-08-18 18:00:00,-2.4
D,1964-08-19 18:00:00,-2.0
D,1964-08-20 18:00:00,-1.7
D,1964-08-21 18:00:00,-1.7
D,1964-08-22 18:00:00,-1.5
D,1964-08-23 18:00:00,-1.0
D,1964-08-24 18:00:00,-0.4
D,1964-08-25 18:00:00,0.2
D,1964-08-26 18:00:00,0.6
D,1964-08-27 18:00:00,1.3
D,1964-08-28 18:00:00,1.7
D,1964-08-29 18:00:00,2.1
D,1964-08-30 18:00:00,2.1
D,1964-08-31 18:00:00,2.4
D,1964-09-01 18:00:00,2.4
D,1964-09-02 18:00:00,2.7
D,1964-09-03 18:00:00,3.0
D,1964-09-04 18:00:00,3.3
D,1964-09-05 18:00:00,3.4
D,1964-09-06 18:00:00,3.3
D,1964-09-07 18:00:00,3.7
D,1964-09-08 18:00:00,4.0
D,1964-09-09 18:00:00,4.7
D,1964-09-10 18:00:00,4.8
D,1964-09-11 18:00:00,5.2
D,1964-09-12 18:00:00,5.5
D,1964-09-13 18:00:00,6.0
D,1964-09-14 18:00:00,6.4
D,1964-09-15 18:00:00,6.8
D,1964-09-16 18:00:00,7.3
D,1964-09-17 18:00:00,7.9
D,1964-09-18 18:00:00,8.7
D,1964-09-19 18:00:00,9.6
D,1964-09-20 18:00:00,10.4
D,1964-09-21 18:00:00,10.8
D,1964-09-22 18:00:00,11.3
D,1964-09-23 18:00:00,11.6
D,1964-09-24 18:00:00,12.1
D,1964-09-25 18:00:00,13.1
D,1964-09-26 18:00:00,14.3
D,1964-09-27 18:00:00,15.6
D,1964-09-28 18:00:00,16.4
D,1964-09-29 18:00:00,17.0
D,1964-09-30 18:00:00,17.3
D,1964-10-01 18:00:00,17.6
D,1964-10-02 18:00:00,17.4
D,1964-10-03 18:00:00,17.2
D,1964-10-04 18:00:00,17.0
D,1964-10-05 18:00:00,17.5
D,1964-10-06 18:00:00,18.0
D,1964-10-07 18:00:00,18.3
D,1964-10-08 18:00:00,18.1
D,1964-10-09 18:00:00,17.7
D,1964-10-10 18:00:00,17.4
D,1964-10-11 18:00:00,17.8
D,1964-10-12 18:00:00,18.3
D,1964-10-13 18:00:00,18.9
D,1964-10-14 18:00:00,18.5
D,1964-10-15 18:00:00,18.2
D,1964-10-16 18:00:00,17.8
D,1964-10-17 18:00:00,17.3
D,1964-10-18 18:00:00,16.6
D,1964-10-19 18:00:00,16.1
D,1964-10-20 18:00:00,15.8
D,1964-10-21 18:00:00,15.4
D,1964-10-22 18:00:00,14.6
D,1964-10-23 18:00:00,14.0
D,1964-10-24 18:00:00,14.3
D,1964-10-25 18:00:00,15.3
D,1964-10-26 18:00:00,16.5
D,1964-10-27 18:00:00,17.8
D,1964-10-28 18:00:00,18.6
D,1964-10-29 18:00:00,19.0
D,1964-10-30 18:00:00,18.8
D,1964-10-31 18:00:00,19.0
D,1964-11-01 18:00:00,19.5
D,1964-11-02 18:00:00,19.0
D,1964-11-03 18:00:00,17.5
D,1964-11-04 18:00:00,15.7
D,1964-11-05 18:00:00,15.4
D,1964-11-06 18:00:00,16.2
D,1964-11-07 18:00:00,17.4
D,1964-11-08 18:00:00,18.3
D,1964-11-09 18:00:00,18.8
D,1964-11-10 18:00:00,18.6
D,1964-11-11 18:00:00,18.7
D,1964-11-12 18:00:00,18.7
D,1964-11-13 18:00:00,19.4
D,1964-11-14 18:00:00,20.8
D,1964-11-15 18:00:00,23.3
D,1964-11-16 18:00:00,26.8
D,1964-11-17 18:00:00,29.5
D,1964-11-18 18:00:00,30.5
D,1964-11-19 18:00:00,28.3
D,1964-11-20 18:00:00,25.0
D,1964-11-21 18:00:00,21.2
D,1964-11-22 18:00:00,19.3
D,1964-11-23 18:00:00,19.4
D,1964-11-24 18:00:00,22.3
D,1964-11-25 18:00:00,27.1
D,1964-11-26 18:00:00,31.7
D,1964-11-27 18:00:00,35.1
D,1964-11-28 18:00:00,35.9
D,1964-11-29 18:00:00,36.0
D,1964-11-30 18:00:00,36.6
D,1964-12-01 18:00:00,37.9
D,1964-12-02 18:00:00,39.2
D,1964-12-03 18:00:00,39.8
D,1964-12-04 18:00:00,40.0
D,1964-12-05 18:00:00,39.9
D,1964-12-06 18:00:00,39.7
D,1964-12-07 18:00:00,38.8
D,1964-12-08 18:00:00,37.6
D,1964-12-09 18:00:00,35.5
D,1964-12-10 18:00:00,33.6
D,1964-12-11 18:00:00,32.4
D,1964-12-12 18:00:00,32.3
D,1964-12-13 18:00:00,32.9
D,1964-12-14 18:00:00,33.9
D,1964-12-15 18:00:00,34.5
D,1964-12-16 18:00:00,34.2
D,1964-12-17 18:00:00,32.9
D,1964-12-18 18:00:00,31.1
D,1964-12-19 18:00:00,30.3
